Feature,Score/Rank,Score/Rank_x,Score/Rank_x,Score/Rank_x,Score/Rank_x,MeanWeight,RankedPosition
AtrialRate,2,892.9246770573571,0.2345661539083587,0.0863101227599482,2970.69065917099,909.2791088247095,1
VentricularRate,1,302.1846869136096,0.2063376219851818,0.0655564692139266,3198.6427579386877,823.8469032808226,2
QTInterval,4,183.8930304100902,0.105512380239725,0.0272241255904115,1628.8869881826329,426.8030011996596,3
V5_q25,3,372.116501539752,0.1215666960182477,0.0131973616283082,1003.230296925728,323.81919118191206,4
V5_iqr,3,474.7647640849695,0.0693607254356543,0.0099863338941374,863.6408939871205,315.11411885445165,5
V2_q25,5,277.976924156564,0.1328999436337041,0.0127522717762799,1043.4066771494631,311.24217729916165,6
V4_q25,6,351.72727493626985,0.1340545224339548,0.0192471153470722,928.8313131942164,301.6969152395923,7
V3_q25,3,314.5176000590165,0.1367147110264595,0.0227829309385628,964.8523012492914,301.2422115177113,8
V5_median,3,1106.5811503970936,0.0585619323719881,0.0039856547551233,18.534488048520252,264.9242790665273,9
V6_q25,3,292.7273981815588,0.1004765497985948,0.0076072984948783,810.5600996185188,259.798960387852,10
V6_median,2,918.3132931100936,0.0682574761459837,0.0071954496870031,164.77026758319315,254.9785914397929,11
V6_iqr,5,401.1895918201243,0.060920826454089,0.004026074224626,680.5706156807606,254.84121280036797,12
V4_iqr,5,380.84453281075616,0.0581145581709812,0.004587192705819,670.4097026319275,247.66280875142607,13
QTCorrected,6,111.51894920121156,0.058858920762145,0.0101293349967145,910.606290363347,240.8692300753688,14
PatientAge,2,20.429331593875133,0.0695042708327311,0.0244907213612977,1001.9239960595798,240.6934876813292,15
V4_min,4,236.50853734511588,0.0655454403902344,0.0045653466556263,748.9007178274699,232.11279199050156,16
V3_std,4,239.62167740142115,0.0688638291234093,0.0052540870721964,742.2778219203574,231.28790993834684,17
V1_kurtosis,4,25.660250826737222,0.0821848105062423,0.0155772807358325,952.2353449996612,230.35137833356245,18
V1_iqr,2,202.27980951204108,0.1207105010521767,0.0141374282654897,766.8334256141504,228.1760195424728,19
aVF_median,2,516.6477941144869,0.0617189337679782,0.0160004358734916,440.62510323684774,225.37661569905322,20
V4_median,6,936.4953942502624,0.0612157162371163,0.0033080683750867,19.338988886793807,225.2703310403926,21
III_median,3,723.784400887451,0.0564425199053126,0.0066890779188061,217.54333515644296,221.68020415099252,22
V3_mean,6,178.87689424538982,0.064960654933788,0.0086525088989002,760.5962389070348,221.4227638391194,23
II_median,2,336.9706534948219,0.0779697678285198,0.0258929242583355,595.2675951216327,219.4922614843627,24
V5_q75,3,409.7647440951413,0.0574909077873644,0.0057873978534656,512.238463063523,217.13329069748355,25
V1_q25,4,135.7411047534569,0.13160361104359,0.0284459989829799,784.1150942881349,216.70970556508667,26
V3_median,3,701.931169185307,0.0791876933866142,0.0045885590671191,215.3729145901856,216.03243765363447,27
V3_rms,5,227.66003259989327,0.0531859242698831,0.0046603410911062,684.9264878971575,215.03396864997927,28
V2_median,3,519.4756642416672,0.0870690352678451,0.0054387656542043,359.0153438485481,206.90200373909113,29
V3_min,5,182.83844544717005,0.0542751681721376,0.0046715905198287,673.4550935818162,201.78882018533608,30
V2_mean,5,154.0407677784397,0.064705135223154,0.0052832688907039,701.7048005494331,201.66248393693803,31
V6_q75,5,411.03380782945567,0.0493810162161505,0.0043164536154051,439.7989434100684,200.50269381396603,32
V6_std,3,217.03063686281456,0.0512447700944909,0.0032723312366618,633.6520340833607,200.34992659941327,33
V4_std,1,210.7327744594904,0.049400889411292,0.0028379213197311,626.2791380847098,197.01509443645438,34
V6_rms,6,216.04249604668632,0.0479868012282052,0.004356953876992,610.4326003124964,194.82998590924421,35
V3_iqr,5,302.9831390906095,0.0497763953796128,0.0022533237687853,522.885514718084,194.62839612419808,36
V1_q75,3,199.60200550714643,0.1004963591451122,0.0164881019616659,625.3170724814788,194.30260292934872,37
V5_std,5,175.94657113140266,0.0611678081602646,0.0044581863659469,643.8664837628833,193.20674844442638,38
V4_skew,6,37.91364371925409,0.0450588071061843,0.0034598895914191,746.1386109679504,184.84724079621228,39
aVR_median,1,214.0591442538707,0.067557514079745,0.0296771782692435,562.7352546799698,182.8568549708681,40
V5_rms,3,170.30201287248522,0.0539791158027855,0.0027178011419157,600.7187468539628,181.6064603866806,41
III_q25,5,193.0694286592191,0.1044501483735904,0.0124010726522772,571.5847300614893,180.2402376333492,42
aVL_q25,2,216.5325273805189,0.1012690234743936,0.0125525031823481,547.823952956701,179.99301220326504,43
V4_rms,1,194.30209137857207,0.0531800190169247,0.0027010672137247,563.34061779535,178.34084476709475,44
V5_kurtosis,6,2.506305398321688,0.0594739869634282,0.0049950681180441,712.7373147202732,168.66072686439443,45
V6_energy,6,263.4452310606949,0.0482644206710161,0.0039719478972317,441.7118456488774,166.2845442536801,46
V2_iqr,5,254.16137876137424,0.0451992648444943,0.0025593637507912,450.35285221876546,166.07340931970234,47
aVF_q25,6,125.94559998153557,0.1066210165157703,0.0146502148787027,564.039818197865,162.73098574371647,48
III_iqr,6,171.97381686397642,0.0952334550024422,0.0060567286257563,516.1318294562733,162.28398505973598,49
V1_median,5,612.4135779828458,0.0793825012408677,0.010558187858295,71.94351449042878,161.34047839114677,50
V6_kurtosis,4,4.83595185009659,0.0611640459429478,0.0050921179176171,671.207235798753,159.3198691324024,51
V4_energy,3,268.054417185583,0.0531617615353494,0.0026021528421308,402.7380211223261,158.02310640524388,52
V4_kurtosis,3,4.1062095052390495,0.0462543931836645,0.0038266551203613,649.4593114669511,153.96837694599867,53
V5_energy,3,202.4260643358608,0.053694997748765,0.0041413535089197,437.1579131005475,150.68042677356846,54
aVL_iqr,5,185.2448708532247,0.0802763858549286,0.0038489114721259,440.5131615418792,147.55109592763083,55
V5_min,6,175.96550431443904,0.0488620679239546,0.0041450567674971,426.9768876155535,142.2342115422786,56
aVL_median,3,559.1403017420134,0.0390261883669116,0.0029723354792522,20.53552555108942,136.58066489810565,57
V3_energy,5,246.5664137563708,0.0533807862776345,0.0048944348953594,324.6692862875231,134.71622947413337,58
V5_skew,6,23.8887831309779,0.0411971743049284,0.002783571116388,543.0765792066117,133.76690425482607,59
V1_skew,5,9.472918762582806,0.04956839036119,0.0048993066283271,554.7649413905394,133.06878302355574,60
II_q25,5,86.22556249997767,0.0852772933603869,0.0068381264934399,472.1273454849341,131.69294668347425,61
V4_q75,5,240.20411090509896,0.0279477358154491,0.0025476446496264,317.99561953003837,131.6424060742594,62
V3_range,3,114.4947027499793,0.0395715366229245,0.0021174458716829,387.14567972741,118.21931093173737,63
V6_skew,5,15.19387591319808,0.0324553063823267,0.0025624593949654,483.6136075888734,117.66882382772913,64
V2_rms,1,150.9102487890418,0.0331670086504356,0.0019502751232549,342.1343371089143,116.07757721923055,65
I_q25,6,112.23575450050458,0.0618484249812154,0.003325517833765,372.9118749314888,114.52065961760194,66
V2_std,1,144.84720631074495,0.038130193350262,0.0020937020474126,340.5526077941037,114.28000894123444,67
III_q75,4,95.7371157425856,0.0764770672673265,0.0038055383904522,387.4678053407965,113.94945969153879,68
V4_mean,6,175.44779649198466,0.0392164027537282,0.0031968747446606,294.5160231416571,110.94264303791533,69
III_rms,4,117.15468595642682,0.0212651634950342,0.0019737792264964,300.51785496624217,98.51665408597425,70
III_std,3,113.1262938814494,0.0248841973753282,0.0015861716034276,299.934687656889,97.37351809583933,71
aVR_q75,1,63.37228226713725,0.0655506399391723,0.0078447353815175,348.17970792914764,96.91185542861307,72
I_skew,4,27.39500821113236,0.0384540158909003,0.0028322890751813,382.4944080575545,96.68957707615363,73
I_median,5,336.5546282795803,0.0439500919558066,0.011087624663382,72.52620688057337,96.56138185335831,74
aVL_q75,3,104.77099040246956,0.062977990710646,0.0030684936378712,295.9062008588056,94.46899711661733,75
aVF_iqr,6,123.32187606317176,0.0348251185633921,0.0029240044875606,263.7800973485155,91.44464059640899,76
V3_skew,4,1.1354481464316366,0.0286536480990216,0.0033859691101874,385.5124638322794,91.21881214021653,77
V2_energy,2,160.96277871274643,0.0329009859457389,0.0020179032146664,222.46567719075108,90.3443234806254,78
V6_min,6,147.96615331845902,0.0252519020701149,0.0026065038045007,231.8333318523096,89.72408084156311,79
II_kurtosis,6,0.777936965711439,0.0337402893310392,0.0022619919165381,377.4945072892828,89.36669330264513,80
III_kurtosis,6,6.6437588809479,0.0551917979897711,0.0029992164760816,365.3906256710224,87.90413542739674,81
V5_range,3,118.44425273643,0.0289263540233777,0.0023637048719474,253.2257025339977,87.63558713631129,82
V4_range,4,108.48938370195134,0.0160570749207964,0.0027003447621837,262.11485538705756,87.44070506086868,83
V1_mean,3,360.45489817284374,0.0285587999467111,0.0036374945136915,7.218924513181427,86.6955338777613,84
I_iqr,6,228.88645339357475,0.0272377016227716,0.0051088917477347,135.97111981062002,86.20939289354476,85
V6_range,4,145.26938967514116,0.0244680737349691,0.0023547138936618,218.73271658609676,85.8891597762039,86
aVR_skew,3,22.872015238823117,0.0258717885741401,0.0024100381749359,319.6494354645173,80.77640765413874,87
aVR_kurtosis,5,0.066673951082458,0.0340794640865758,0.0026600631806383,336.9538226690054,79.60170262290707,88
aVF_kurtosis,6,0.0012808889219395,0.0381212277242799,0.0024002700756357,335.3554081489751,79.26993189075222,89
III_energy,4,152.76982337430098,0.021159686043344,0.0018072048089593,180.24899008950433,78.5980659658018,90
aVF_energy,2,146.73051596431387,0.0200484277912944,0.0016836400024358,178.13555223876685,76.56183535785283,91
II_energy,4,180.69088181028047,0.0204715790715257,0.0015788139627963,142.09408016325025,76.1898852627212,92
aVF_std,3,99.19827613017326,0.0231083337172766,0.0016043225428186,218.40847194939937,74.91328487901947,93
