Method,Accuracy,F1-Score,Precision,Recall,Specificity,ROC-AUC
Hard Voting,0.9323943661971831,0.9316065100845257,0.9317265757953939,0.9323943661971831,0.9668400520156046,
Soft Voting,0.9258215962441314,0.9252156399572635,0.9250620184417812,0.9258215962441314,0.9583875162548765,
Weighted Averaging,0.9309859154929577,0.930480906396153,0.9303444609527161,0.9309859154929577,0.9609882964889467,
Stacking (Logistic),0.9530516431924883,0.9530516431924883,0.9530516431924883,0.9530516431924883,0.9674902470741222,
Stacking (RF),0.9535211267605633,0.9538334708551035,0.9545092478965187,0.9535211267605633,0.959037711313394,
